item_id,raw_text,table_item/transaction_withdrawal_date,table_item/transaction_withdrawal_description,table_item/transaction_withdrawal,table_item/transaction_deposit_date,table_item/transaction_deposit_description,table_item/transaction_deposit
0,Jun 25LULLABI INN920-8683135WI- $125.97,Jun 25,LULLABI INN920-8683135WI,- $125.97,,,
1,"Jul 7Jul 7CAPITAL ONE MOBILE PYMT$2,255.91",Jul 7,CAPITAL ONE MOBILE PYMT,"$2,255.91",,,
2,Jul 13HOMEGOODS 275RCH CUCAMONGACA- $21.53,Jul 13,HOMEGOODS 275RCH CUCAMONGACA,- $21.53,,,
3,MOHIT AGGARWAL #6346: Transactions,,MOHIT AGGARWAL #6346: Transactions,,,,
4,MED*POMONA VALLEY HOSP MC909-865-9500CA$249.60,,MED*POMONA VALLEY HOSP MC909-865-9500CA,$249.60,,,
5,Jun 22BAPS SHAYONA-LA RETAILCHINO HILLSCA$25.95,Jun 22,BAPS SHAYONA-LA RETAILCHINO HILLSCA,$25.95,,,
6,Jun 22BAPS SHAYONA-LA RETAILCHINO HILLSCA$8.00,Jun 22,BAPS SHAYONA-LA RETAILCHINO HILLSCA,$8.00,,,
7,"Jun 25Jun 27TARGET
00019588FONTANACA$10.18",Jun 25,"TARGET
00019588FONTANACA",$10.18,Jun 27,,
8,Jun 28SQ *THE COPPER QBig Bear LakeCA$6.95,Jun 28,SQ *THE COPPER QBig Bear LakeCA,$6.95,,,
9,Jun 29OLIVE GARDEN ZK 0026426RIALTOCA$72.80,Jun 29,OLIVE GARDEN ZK 0026426RIALTOCA,$72.80,,,
10,Jun 30Jul 1LINQ LV DEP-NOSHW-CXL8662094732NV$186.96,Jun 30,LINQ LV DEP-NOSHW-CXL8662094732NV,$186.96,Jul 1,LINQ LV DEP-NOSH,
11,Jun 30BOOST MOBILEHTTPS://WWW.DCO$16.49,Jun 30,BOOST MOBILEHTTPS://WWW.DCO,$16.49,,,
12,Jun 30Jul 1UCW STARBUCKSUNIVERSAL CITCA$23.33,Jun 30,W STARBUCKSUNIVERSAL CITCA,$23.33,Jul 1,UC,
13,Jun 30Jul 1PALACE CAFEUNIVERSAL CITCA$30.71,Jun 30,,$30.71,Jul 1,PALACE CAFEUNIVERSAL CITCA,
14,Jun 30Jul 1PALACE CAFEUNIVERSAL CITCA$15.35,Jul 1,,$15.35,Jul 1,PALACE CAFEUNIVERSAL CITCA,
15,Jul 1Jul 3ANIL P. PUNJABI MD DDSREDLANDSCA$85.00,Jul 3,,$85.00,Jul 3,ANIL P. PUNJABI MD DDSREDLANDSCA,
16,Jul 1Jul 385C BAKERY CAFE USARANCHO CUCAMOCA$27.25,Jul 3,85C BAKERY CAFE USARANCHO CUCAMOCA,$27.25,,,
17,Jul 2Jul 4VONS #1914RANCHO CUCAMOCA$5.99,Jul 4,VONS #1914RANCHO CUCAMOCA,$5.99,,,
